,segmentation,forecast_values,mape
baseline,4,"[365.28288722431347, 486.5900682547991, 618.3143720920309, 488.4417964541485, 407.0207183777036, 409.51993264959646]",2264.5002385074554
groupA,4,"[365.28288722431347, 486.5900682547991, 618.3143720920309, 488.4417964541485, 407.0207183777036, 409.51993264959646]",2264.5002385074554
groupB,4,"[365.28288722431347, 486.5900682547991, 618.3143720920309, 488.4417964541485, 407.0207183777036, 409.51993264959646]",2264.5002385074554
groupC,4,"[287.0, 239.0, 372.6666666666667, 674.3333333333334, 580.6666666666666, 473.3333333333333]",
