Segment,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Top_Product
0,126.52144772117963,9.772117962466488,48.789544235924936,13.646112600536194,10.64745308310992,27.16756032171582,MntWines
1,127.12137931034482,9.813793103448276,52.17655172413793,14.933793103448275,10.255172413793103,28.22758620689655,MntWines
2,650.411051212938,58.64150943396226,386.83288409703505,82.7466307277628,58.79784366576819,75.73854447439354,MntWines
3,81.0,4.0,33.0,5.0,2.0,291.0,MntGoldProds
